slug,name,category,chain_main,chains,max_tvl,tvl_bin,ever_exploited,is_exploited_eventlevel,ever_audited,any_top_firm,audit_firm_count,contract_address,compiler_version,verified_source_found
zyxswap,ZYXSwap,Dexs,ZYX,ZYX,0.0,Q1,0,0,0,0,0,,,0
zeniq-swap,Zeniq Swap,Dexs,Zeniq,Zeniq,0.0,Q1,0,0,0,0,0,,,0
hyperion-exchange,Hyperion Exchange,Derivatives,Zkfair,Zkfair,0.0,Q1,0,0,0,0,0,,,0
pearl-v1.5,Pearl V1.5,Dexs,re.al,re.al,0.0,Q1,0,0,0,0,0,,,0
pearl-v2,Pearl V2,Dexs,re.al,re.al,0.0,Q1,0,0,0,0,0,,,0
tangible-arcana,Tangible Arcana,Basis Trading,re.al,re.al,0.0,Q1,0,0,0,0,0,,,0
re.al-protocol,re.al protocol,RWA,re.al,re.al,0.0,Q1,0,0,0,0,0,,,0
sturgeon,Sturgeon,Yield,re.al,re.al,0.0,Q1,0,0,0,0,0,,,0
bchpad,BCHPad,Launchpad,smartBCH,smartBCH,0.0,Q1,0,0,0,0,0,,,0
celerycash,Celerycash,Services,smartBCH,smartBCH,0.0,Q1,0,0,0,0,0,,,0
lns,LNS,Dexs,smartBCH,smartBCH,0.0,Q1,0,0,0,0,0,,,0
coinflex,CoinFLEX,Yield,smartBCH,smartBCH,0.0,Q1,0,0,0,0,0,,,0
joystick-club,Joystick Club,Gaming,smartBCH,smartBCH,0.0,Q1,0,0,0,0,0,,,0
rarify,Rarify,Yield,xDai,xDai,0.0,Q1,0,0,0,0,0,,,0
hopr,HOPR,Privacy,xDai,xDai,0.0,Q1,0,0,0,0,0,,,0
allspark,Allspark,Derivatives,zkLink,zkLink,1.7666904884255763e-11,Q1,0,0,0,0,0,,,0
zklite-exchange,zkLite Exchange,Dexs,zkSync,zkSync,0.0,Q1,0,0,0,0,0,,,0
superlauncher,SuperLauncher,Launchpad,zkSync Era,zkSync Era,0.0,Q1,0,0,0,0,0,,,0
froggy-protocol,Froggy Protocol,Yield Aggregator,zkSync Era,zkSync Era,0.0,Q1,0,0,0,0,0,,,0
zilch-capital,Zilch Capital,Dexs,zkSync Era,zkSync Era,0.0,Q1,0,0,0,0,0,,,0
zks-miner,Zks Miner,Ponzi,zkSync Era,zkSync Era,0.0,Q1,0,0,0,0,0,,,0
rfx-exchange-v1,RFX Exchange V1,Derivatives,zkSync Era,zkSync Era,0.0,Q1,0,0,0,0,0,,,0
mondrian-swap,Mondrian Swap,Dexs,Abstract,Abstract,4742.283692175324,Q2,0,0,0,0,0,,,0
superhero-dex,Superhero DEX,Dexs,Aeternity,Aeternity,220.30775416838185,Q2,0,0,0,0,0,,,0
algodex,Algodex,Dexs,Algorand,Algorand,3955.218021799081,Q2,0,0,0,0,0,,,0
algomint,Algomint,Algo-Stables,Algorand,Algorand,265.4693153187511,Q2,0,0,0,0,0,,,0
silo-protocol,Silo Protocol,Options Vault,Algorand,Algorand,60.87739079833709,Q2,0,0,0,0,0,,,0
compx-streaming,Compx Streaming,Payments,Algorand,Algorand,37.970527638220155,Q2,0,0,0,0,0,,,0
deridex,Deridex,Derivatives,Algorand,Algorand,187.4086783872766,Q2,0,0,0,0,0,,,0
zenolend,ZenoLend,Lending,ApeChain,ApeChain;Hemi;Unichain;Soneium;Story,3967.63182870086,Q2,0,0,0,0,0,,,0
saru,Saru,Dexs,ApeChain,ApeChain,2759.6631028525658,Q2,0,0,0,0,0,,,0
jujube-finance,Jujube Finance,Dexs,Aptos,Aptos,61.252681595784416,Q2,0,0,0,0,0,,,0
movepump,MovePump,Launchpad,Aptos,Aptos,1410.1357460838476,Q2,0,0,0,0,0,,,0
agdex,AGDEX,Derivatives,Aptos,Aptos,125.94556178377432,Q2,0,0,0,0,0,,,0
obric,Obric,Dexs,Aptos,Aptos,2590.8828868458104,Q2,0,0,0,0,0,,,0
baptswap-v2,BaptSwap V2,Dexs,Aptos,Aptos,51.06365470196481,Q2,0,0,0,0,0,,,0
sterling-finance,Sterling Finance,Dexs,Arbitrum,Arbitrum,10571.779021883904,Q2,0,0,0,0,0,,,0
mm-finance-arbitrum,MM Finance Arbitrum,Dexs,Arbitrum,Arbitrum,2439.8703589607085,Q2,0,0,0,0,0,,,0
diamond-protocol-v2,Diamond Protocol V2,Liquidity manager,Arbitrum,Arbitrum;Binance,8280.228466207083,Q2,0,0,0,0,0,,,0
trainswap,TrainSwap,Dexs,Arbitrum,Arbitrum,1241.6185348040826,Q2,0,0,0,0,0,,,0
gast,Gast,Dexs,Arbitrum,Arbitrum,4638.9966644317365,Q2,0,0,0,0,0,,,0
