protocol_name_raw,symbol,category,chains,tvl_max,audit_firms,audit_score_max,audit_score_mean,last_audit_date,audit_sources,audit_firm_count,has_audit,audit_score,any_top_firm,proto_norm,slug
Alpaca City,ALPA,Yield,['Multi-Chain'],0.0,[],,,,['api'],0,0,,0,alpaca city,alpaca-city
Alpaca Finance 2.0,ALPACA,Lending,['Binance'],19489614.63451408,[],,,,['api'],0,0,,0,alpaca finance 2.0,alpaca-finance-2.0
Alpaca Leveraged Yield Farming,ALPACA,Leveraged Farming,['Multi-Chain'],46190126.14602848,[],,,,['api'],0,0,,0,alpaca leveraged yield farming,alpaca-leveraged-yield-farming
Alpaca Perpetual Futures Exchange,ALPACA,Derivatives,['Binance'],80961.59153338369,[],,,,['api'],0,0,,0,alpaca perpetual futures exchange,alpaca-perpetual-futures-exchange
AlphBanX,ABX,CDP,['Alephium'],1186332.020727269,[],,,,['api'],0,0,,0,alphbanx,alphbanx
AlphPad,APAD,Launchpad,['Alephium'],0.0,[],,,,['api'],0,0,,0,alphpad,alphpad
Alpha,BTC,SoFi,['NOS'],564415.9072338181,[],,,,['api'],0,0,,0,alpha,alpha
Alpha Arcade,ALPHA,Prediction Market,['Algorand'],218095.7443094245,[],,,,['api'],0,0,,0,alpha arcade,alpha-arcade
AlphaFi Agg,ALPHA,Yield Aggregator,['Sui'],15428075.136755232,[],,,,['api'],0,0,,0,alphafi agg,alphafi-agg
AlphaFi stSUI,ALPHA,Liquid Staking,['Sui'],28841744.70583496,[],,,,['api'],0,0,,0,alphafi stsui,alphafi-stsui
AlphaLend,BLUE,Lending,['Sui'],97818610.25298224,[],,,,['api'],0,0,,0,alphalend,alphalend
AlphaPing,-,Risk Curators,['Ethereum'],42829839.073051855,[],,,,['api'],0,0,,0,alphaping,alphaping
AlphaX,-,Derivatives,['Multi-Chain'],6.125554,[],,,,['api'],0,0,,0,alphax,alphax
Alphadex,ROAR,Dexs,['Multi-Chain'],8561.98825042644,[],,,,['api'],0,0,,0,alphadex,alphadex
AltLayer,ALT,Developer Tools,['nan'],,[],,,,['api'],0,0,,0,altlayer,altlayer
Alternity,LCNY,CDP,['Ethereum'],18988.022583694375,[],,,,['api'],0,0,,0,alternity,alternity
Alterscope,-,Risk Curators,['Multi-Chain'],4889955.777835168,[],,,,['api'],0,0,,0,alterscope,alterscope
Altitude,ALTD,Cross Chain Bridge,['Multi-Chain'],69037.07876785236,[],,,,['api'],0,0,,0,altitude,altitude
Altitude.Fi,-,Lending,['Ethereum'],19060955.238506615,[],,,,['api'],0,0,,0,altitude.fi,altitude.fi
Altr Lend,-,Lending,['Polygon'],0.0,[],,,,['api'],0,0,,0,altr lend,altr-lend
Alvey Dex,-,Dexs,['ALV'],6906.04301938529,[],,,,['api'],0,0,,0,alvey dex,alvey-dex
Alyx finance,ALYX,Reserve Currency,['Binance'],1.861667319980016,[],,,,['api'],0,0,,0,alyx finance,alyx-finance
Amana,-,Yield Aggregator,['ZetaChain'],186353.2729990558,[],,,,['api'],0,0,,0,amana,amana
Amaterasu Finance,IZA,Dexs,['Aurora'],13266.273805893765,[],,,,['api'],0,0,,0,amaterasu finance,amaterasu-finance
Amber Finance,-,Lending,['Neutron'],377398.7586471301,[],,,,['api'],0,0,,0,amber finance,amber-finance
Ambient,-,Dexs,['Multi-Chain'],12155059.052275049,[],,,,['api'],0,0,,0,ambient,ambient
Ambire Wallet,WALLET,Wallets,['Ethereum'],0.0,[],,,,['api'],0,0,,0,ambire wallet,ambire-wallet
Ambit Finance,AMBT,Lending,['Binance'],136521.7022292473,[],,,,['api'],0,0,,0,ambit finance,ambit-finance
