slug,name,symbol,category,tvl,chains,has_audit_strict,has_contest,has_security_review_broad,num_audits_strict,num_contests,audit_event_count_strict,contest_event_count,security_review_event_count_total,last_audit_date_strict,last_contest_date,last_security_review_date,audit_recency_years_strict,audit_firm_count,any_top_firm,audit_firm_tier,audit_score,strict_sources_seen,contest_sources_seen,all_sources_seen,audit_firms_strict
chakra,Chakra,-,Restaked BTC,4602304.913999696,Bitcoin,0,1,1,0,12,0,12,12,,2024-08-27 12:21:48+00:00,2024-08-27 12:21:48+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
circle-usyc,Circle USYC,-,RWA,1523327550.0500867,Binance;Ethereum;Near;Noble,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
coinbase-wrapped-staked-eth,Coinbase Wrapped Staked ETH,-,Liquid Staking,400953729.4173348,Ethereum,0,1,1,0,8,0,8,8,,2024-03-07 17:05:41+00:00,2024-03-07 17:05:41+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
compound-v3,Compound V3,COMP,Lending,1675101031.5527737,Ethereum;Arbitrum;Base;Optimism;Polygon;Mantle;Unichain;Ronin;Scroll,1,0,1,2,0,2,0,2,,,,,2,0,other,91.0,[full],[],[full],"[certik,defisafety]"
concrete,Concrete,-,Onchain Capital Allocator,1009579016.78881,Ethereum;Berachain;Stable;Arbitrum;Katana,0,1,1,0,4,0,4,4,,2024-11-13 20:23:42+00:00,2024-11-13 20:23:42+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
connext,Connext,NEXT,Bridge,326967510.49162275,Ethereum;Arbitrum;Linea;Binance;Optimism;Polygon;xDai;Metis;Base;Mode;Milkomeda;Moonriver;Fantom;Moonbeam;Fuse;Cronos;Boba;Evmos;Harmony;Avalanche,0,1,1,0,16,0,16,16,,2022-06-06 18:16:35+00:00,2022-06-06 18:16:35+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
convergence,Convergence,CONV,Dexs,441970.37193286774,Ethereum;Moonbeam,0,1,1,0,8,0,8,8,,2024-01-21 12:10:02+00:00,2024-01-21 12:10:02+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
convex-finance,Convex Finance,CVX,Yield,950550676.232998,Ethereum;Fraxtal;Arbitrum;Polygon,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
credit,Credit,-,Lending,3962361.090229035,World Chain,0,1,1,0,8,0,8,8,,2023-11-21 20:16:37+00:00,2023-11-21 20:16:37+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
curves-protocol,Curves Protocol,-,SoFi,229.78854960062205,Form Network,0,1,1,0,8,0,8,8,,2024-01-02 15:44:54+00:00,2024-01-02 15:44:54+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
