protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile
privatixcrowdsalecontractaudit,github_strict_search,OpenZeppelin,,,https://github.com/bokkypoobah/PrivatixCrowdsaleContractAudit/blob/1bbefd6e6b2a3155ca90f37c311ca86788e5e2ac/audit/openzeppelin-code-review/token/BasicToken.md,kw=openzeppelin; path=audit; ext=md; repo=PrivatixCrowdsaleContractAudit; file=audit/openzeppelin-code-review/token/BasicToken.md,scrape_github_strict_audit_reports.py
openzapellin,github_strict_search,OpenZeppelin,,,https://github.com/Andywrites/openzapellin/blob/6de04f4f441c5027d03be15a2004e60068b9d05c/audit/ZeppelinAudit.md,kw=openzeppelin; path=audit; ext=md; repo=openzapellin; file=audit/ZeppelinAudit.md,scrape_github_strict_audit_reports.py
rocketlaunch-sc,github_strict_search,OpenZeppelin,,,https://github.com/DefikitTeam/rocketlaunch-sc/blob/c78a3704a65560b6d930fccc93bf5954ee71712c/audit/version20060204_1045/RocketBera_Audit_Report.md,kw=openzeppelin; path=audit; ext=md; repo=rocketlaunch-sc; file=audit/version20060204_1045/RocketBera_Audit_Report.md,scrape_github_strict_audit_reports.py
privatixcrowdsalecontractaudit,github_strict_search,OpenZeppelin,,,https://github.com/bokkypoobah/PrivatixCrowdsaleContractAudit/blob/1bbefd6e6b2a3155ca90f37c311ca86788e5e2ac/audit/openzeppelin-code-review/token/MintableToken.md,kw=openzeppelin; path=audit; ext=md; repo=PrivatixCrowdsaleContractAudit; file=audit/openzeppelin-code-review/token/MintableToken.md,scrape_github_strict_audit_reports.py
privatixcrowdsalecontractaudit,github_strict_search,OpenZeppelin,,,https://github.com/bokkypoobah/PrivatixCrowdsaleContractAudit/blob/1bbefd6e6b2a3155ca90f37c311ca86788e5e2ac/audit/openzeppelin-code-review/token/StandardToken.md,kw=openzeppelin; path=audit; ext=md; repo=PrivatixCrowdsaleContractAudit; file=audit/openzeppelin-code-review/token/StandardToken.md,scrape_github_strict_audit_reports.py
lendefi-protocol,github_strict_search,OpenZeppelin,,,https://github.com/nebula-labs-xyz/lendefi-protocol/blob/6d0a6dace0b126bb89ce49c96c2b88b0c5ad65d6/audit/Treasury.md,kw=openzeppelin; path=audit; ext=md; repo=lendefi-protocol; file=audit/Treasury.md,scrape_github_strict_audit_reports.py
lendefi-protocol,github_strict_search,OpenZeppelin,,,https://github.com/nebula-labs-xyz/lendefi-protocol/blob/6d0a6dace0b126bb89ce49c96c2b88b0c5ad65d6/audit/TeamManager.md,kw=openzeppelin; path=audit; ext=md; repo=lendefi-protocol; file=audit/TeamManager.md,scrape_github_strict_audit_reports.py
rocketlaunch-sc,github_strict_search,OpenZeppelin,,,https://github.com/DefikitTeam/rocketlaunch-sc/blob/c78a3704a65560b6d930fccc93bf5954ee71712c/audit/version20060204_1045/BexOperation_Audit_Report.md,kw=openzeppelin; path=audit; ext=md; repo=rocketlaunch-sc; file=audit/version20060204_1045/BexOperation_Audit_Report.md,scrape_github_strict_audit_reports.py
2025-04-eggstravaganza,github_strict_search,OpenZeppelin,,,https://github.com/Neros0/2025-04-eggstravaganza/blob/293ffbc920ec89a2cfae41c9307addd2da79b372/audit/slither.md,kw=openzeppelin; path=audit; ext=md; repo=2025-04-eggstravaganza; file=audit/slither.md,scrape_github_strict_audit_reports.py
metaaccesskit,github_strict_search,OpenZeppelin,,,https://github.com/mangert/MetaAccessKit/blob/600ce1b0f6b3510c667b91685a26894f861aa4f0/audit/audit.md,kw=openzeppelin; path=audit; ext=md; repo=MetaAccessKit; file=audit/audit.md,scrape_github_strict_audit_reports.py
lendefi-protocol,github_strict_search,OpenZeppelin,,,https://github.com/nebula-labs-xyz/lendefi-protocol/blob/6d0a6dace0b126bb89ce49c96c2b88b0c5ad65d6/audit/InvestmentManager.md,kw=openzeppelin; path=audit; ext=md; repo=lendefi-protocol; file=audit/InvestmentManager.md,scrape_github_strict_audit_reports.py
smartcontract,github_strict_search,OpenZeppelin,,,https://github.com/otoco-io/SmartContract/blob/11ca3f2d68f928d3b9dceeb37e12bcf6b36f5e35/audit/v1/OtoCo%20-%20Correction%20-%20v220525.md,kw=openzeppelin; path=audit; ext=md; repo=SmartContract; file=audit/v1/OtoCo - Correction - v220525.md,scrape_github_strict_audit_reports.py
concrete-earn-v2-security,github_strict_search,OpenZeppelin,,,https://github.com/avaloki108/concrete-earn-v2-security-audit/blob/d13efe808829607e254d03dce0919f269fb18d96/audit/01-ConcreteFactory/certora/README.md,kw=openzeppelin; path=audit; ext=md; repo=concrete-earn-v2-security-audit; file=audit/01-ConcreteFactory/certora/README.md,scrape_github_strict_audit_reports.py
