protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile,slug,in_llama,protocol_norm,slug_mapped,slug_final
lendefi-markets-polygon,audit_report_firm,OpenZeppelin,,,https://github.com/LendefiMarkets/lendefi-markets-polygon/blob/53d438ecd660818ac408b88fb763669eb4a8b0c1/audit/LendefiCore.md,"repo=LendefiMarkets/lendefi-markets-polygon; path=audit/LendefiCore.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,lendefi markets polygon,,
think-staking-audit,audit_report_firm,OpenZeppelin,,,https://github.com/Ai-Layer-Labs/think-staking-audit/blob/2edaca109409b8d3cecd1fa642913fb0d6c6069c/audit/audit_response.md,"repo=Ai-Layer-Labs/think-staking-audit; path=audit/audit_response.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,think staking audit,,
ASD-V2,audit_report_firm,OpenZeppelin,,,https://github.com/Plex-Engineer/ASD-V2/blob/d0e4a4452701cdd7547724c2bb08907ca413dae5/audit/report.md,"repo=Plex-Engineer/ASD-V2; path=audit/report.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,asd v2,,
liquid-signal-governance,audit_report_firm,OpenZeppelin,,,https://github.com/Heesho/liquid-signal-governance/blob/3eaab7d3a4db6597c92649b6de9456bc8a8a2823/audit/CodexAudit.md,"repo=Heesho/liquid-signal-governance; path=audit/CodexAudit.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,liquid signal governance,,
concrete-earn-v2-security-audit,audit_report_firm,OpenZeppelin,,,https://github.com/avaloki108/concrete-earn-v2-security-audit/blob/d13efe808829607e254d03dce0919f269fb18d96/audit/FINDINGS.md,"repo=avaloki108/concrete-earn-v2-security-audit; path=audit/FINDINGS.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,concrete earn v2 security audit,,
AuditGuide,audit_report_firm,OpenZeppelin,,,https://github.com/toplustar/AuditGuide/blob/124c06d92f86551c653e841b26fda4518d6d5048/Audit/ref/ethdev.md,"repo=toplustar/AuditGuide; path=Audit/ref/ethdev.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,auditguide,,
qenex-defi,audit_report_firm,OpenZeppelin,,,https://github.com/abdulrahman305/qenex-defi/blob/aab9ad71d2b5afdf9b4197cfd45a3e2dc08a2b4e/audit/reentrancy_analysis.md,"repo=abdulrahman305/qenex-defi; path=audit/reentrancy_analysis.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,qenex,,
AuditGuide,audit_report_firm,OpenZeppelin,,,https://github.com/toplustar/AuditGuide/blob/124c06d92f86551c653e841b26fda4518d6d5048/Audit/ref/rahul.md,"repo=toplustar/AuditGuide; path=Audit/ref/rahul.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,auditguide,,
arc_ecosystem,audit_report_firm,OpenZeppelin,,,https://github.com/Artifact-Virtual/arc_ecosystem/blob/00a1fe15192656d3372833125cd6bf63d14cf937/audit/reports/audit-290825.md,"repo=Artifact-Virtual/arc_ecosystem; path=audit/reports/audit-290825.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,arc ecosystem,,
aion.erc.contract,audit_report_firm,OpenZeppelin,,,https://github.com/gonuco/aion.erc.contract/blob/69ed73c72eb9acafd74575061861fc0215d49832/audit/README.md,"repo=gonuco/aion.erc.contract; path=audit/README.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,aion erc,,
esusu-contracts,audit_report_firm,OpenZeppelin,,,https://github.com/emiridbest/esusu-contracts/blob/62de99a72dd4b3405d157d719fec5442080f9080/audit/audit%20report.md,"repo=emiridbest/esusu-contracts; path=audit/audit report.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,esusu,,
AuditGuide,audit_report_firm,OpenZeppelin,,,https://github.com/toplustar/AuditGuide/blob/124c06d92f86551c653e841b26fda4518d6d5048/Audit/ref/hans.md,"repo=toplustar/AuditGuide; path=Audit/ref/hans.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,auditguide,,
AuditGuide,audit_report_firm,OpenZeppelin,,,https://github.com/toplustar/AuditGuide/blob/124c06d92f86551c653e841b26fda4518d6d5048/Audit/ref/jeffrey.md,"repo=toplustar/AuditGuide; path=Audit/ref/jeffrey.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,auditguide,,
