protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile,org,repo_name,protocol_guess,slug,in_llama,protocol_norm,slug_mapped,slug_final
ambire,code4rena,Code4rena,,2021-09-20T20:34:51Z,https://github.com/code-423n4/2021-10-ambire-findings,repo=2021-10-ambire-findings,audit_events_code4rena.csv,,,,,1,ambire,ambire-wallet,ambire-wallet
swivel,code4rena,Code4rena,,2021-09-27T14:51:44Z,https://github.com/code-423n4/2021-09-swivel,repo=2021-09-swivel,audit_events_code4rena.csv,,,,,1,swivel,swivel-finance,swivel-finance
swivel,code4rena,Code4rena,,2021-09-27T14:52:00Z,https://github.com/code-423n4/2021-09-swivel-findings,repo=2021-09-swivel-findings,audit_events_code4rena.csv,,,,,1,swivel,swivel-finance,swivel-finance
tracer,code4rena,Code4rena,,2021-10-04T16:28:29Z,https://github.com/code-423n4/2021-10-tracer,repo=2021-10-tracer,audit_events_code4rena.csv,,,,,0,tracer,,
tracer,code4rena,Code4rena,,2021-10-04T16:33:26Z,https://github.com/code-423n4/2021-10-tracer-findings,repo=2021-10-tracer-findings,audit_events_code4rena.csv,,,,,0,tracer,,
defiprotocol,code4rena,Code4rena,,2021-10-04T19:05:43Z,https://github.com/code-423n4/2021-10-defiprotocol-findings,repo=2021-10-defiprotocol-findings,audit_events_code4rena.csv,,,,,0,defiprotocol,,
defiprotocol,code4rena,Code4rena,,2021-10-04T19:07:22Z,https://github.com/code-423n4/2021-10-defiprotocol,repo=2021-10-defiprotocol,audit_events_code4rena.csv,,,,,0,defiprotocol,,
tally,code4rena,Code4rena,,2021-10-05T21:55:12Z,https://github.com/code-423n4/2021-10-tally,repo=2021-10-tally,audit_events_code4rena.csv,,,,,0,tally,,
tally,code4rena,Code4rena,,2021-10-05T21:57:30Z,https://github.com/code-423n4/2021-10-tally-findings,repo=2021-10-tally-findings,audit_events_code4rena.csv,,,,,0,tally,,
mochi,code4rena,Code4rena,,2021-10-07T15:43:24Z,https://github.com/code-423n4/2021-10-mochi,repo=2021-10-mochi,audit_events_code4rena.csv,,,,,1,mochi,mochiswap,mochiswap
mochi,code4rena,Code4rena,,2021-10-07T15:49:31Z,https://github.com/code-423n4/2021-10-mochi-findings,repo=2021-10-mochi-findings,audit_events_code4rena.csv,,,,,1,mochi,mochiswap,mochiswap
covalent,code4rena,Code4rena,,2021-10-07T18:39:26Z,https://github.com/code-423n4/2021-10-covalent,repo=2021-10-covalent,audit_events_code4rena.csv,,,,,0,covalent,,
covalent,code4rena,Code4rena,,2021-10-07T18:39:41Z,https://github.com/code-423n4/2021-10-covalent-findings,repo=2021-10-covalent-findings,audit_events_code4rena.csv,,,,,0,covalent,,
union,code4rena,Code4rena,,2021-10-12T01:31:32Z,https://github.com/code-423n4/2021-10-union,repo=2021-10-union,audit_events_code4rena.csv,,,,,1,union,bright-union,bright-union
union,code4rena,Code4rena,,2021-10-12T01:36:14Z,https://github.com/code-423n4/2021-10-union-findings,repo=2021-10-union-findings,audit_events_code4rena.csv,,,,,1,union,bright-union,bright-union
badgerdao,code4rena,Code4rena,,2021-10-25T20:15:02Z,https://github.com/code-423n4/2021-10-badgerdao,repo=2021-10-badgerdao,audit_events_code4rena.csv,,,,,1,badgerdao,badger-dao,badger-dao
badgerdao,code4rena,Code4rena,,2021-10-25T20:15:34Z,https://github.com/code-423n4/2021-10-badgerdao-findings,repo=2021-10-badgerdao-findings,audit_events_code4rena.csv,,,,,1,badgerdao,badger-dao,badger-dao
slingshot,code4rena,Code4rena,,2021-10-25T21:01:38Z,https://github.com/code-423n4/2021-10-slingshot-findings,repo=2021-10-slingshot-findings,audit_events_code4rena.csv,,,,,1,slingshot,slingshot,slingshot
slingshot,code4rena,Code4rena,,2021-10-25T21:04:13Z,https://github.com/code-423n4/2021-10-slingshot,repo=2021-10-slingshot,audit_events_code4rena.csv,,,,,1,slingshot,slingshot,slingshot
overlay,code4rena,Code4rena,,2021-10-26T23:38:18Z,https://github.com/code-423n4/2021-11-overlay-findings,repo=2021-11-overlay-findings,audit_events_code4rena.csv,,,,,0,overlay,,
overlay,code4rena,Code4rena,,2021-10-26T23:41:09Z,https://github.com/code-423n4/2021-11-overlay,repo=2021-11-overlay,audit_events_code4rena.csv,,,,,0,overlay,,
fairside,code4rena,Code4rena,,2021-10-28T20:55:24Z,https://github.com/code-423n4/2021-11-fairside-findings,repo=2021-11-fairside-findings,audit_events_code4rena.csv,,,,,0,fairside,,
bootfinance,code4rena,Code4rena,,2021-11-02T23:03:54Z,https://github.com/code-423n4/2021-11-bootfinance,repo=2021-11-bootfinance,audit_events_code4rena.csv,,,,,1,bootfinance,boofinance,boofinance
vader,code4rena,Code4rena,,2021-11-03T14:22:01Z,https://github.com/code-423n4/2021-11-vader-findings,repo=2021-11-vader-findings,audit_events_code4rena.csv,,,,,1,vader,vader-ai,vader-ai
nested,code4rena,Code4rena,,2021-11-03T14:28:07Z,https://github.com/code-423n4/2021-11-nested-findings,repo=2021-11-nested-findings,audit_events_code4rena.csv,,,,,1,nested,nested,nested
vader,code4rena,Code4rena,,2021-11-03T14:33:06Z,https://github.com/code-423n4/2021-11-vader,repo=2021-11-vader,audit_events_code4rena.csv,,,,,1,vader,vader-ai,vader-ai
nested,code4rena,Code4rena,,2021-11-03T14:48:59Z,https://github.com/code-423n4/2021-11-nested,repo=2021-11-nested,audit_events_code4rena.csv,,,,,1,nested,nested,nested
unlock,code4rena,Code4rena,,2021-11-03T15:41:47Z,https://github.com/code-423n4/2021-11-unlock,repo=2021-11-unlock,audit_events_code4rena.csv,,,,,1,unlock,unlockd-v1,unlockd-v1
unlock,code4rena,Code4rena,,2021-11-03T15:42:10Z,https://github.com/code-423n4/2021-11-unlock-findings,repo=2021-11-unlock-findings,audit_events_code4rena.csv,,,,,1,unlock,unlockd-v1,unlockd-v1
maple,code4rena,Code4rena,,2021-11-03T18:05:47Z,https://github.com/code-423n4/2021-12-maple,repo=2021-12-maple,audit_events_code4rena.csv,,,,,1,maple,maple,maple
maple,code4rena,Code4rena,,2021-11-03T18:07:59Z,https://github.com/code-423n4/2021-12-maple-findings,repo=2021-12-maple-findings,audit_events_code4rena.csv,,,,,1,maple,maple,maple
bootfinance,code4rena,Code4rena,,2021-11-03T19:27:52Z,https://github.com/code-423n4/2021-11-bootfinance-findings,repo=2021-11-bootfinance-findings,audit_events_code4rena.csv,,,,,1,bootfinance,boofinance,boofinance
mellow,code4rena,Code4rena,,2021-11-09T13:57:03Z,https://github.com/code-423n4/2021-12-mellow-findings,repo=2021-12-mellow-findings,audit_events_code4rena.csv,,,,,1,mellow,mellow,mellow
